id,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Address,Response_Address,Response_X,Response_Y,縣市,商店名稱
16727,23060248,全家便利商店股份有限公司,90682168,台北市第七一九分公司,臺北市中山區民安里中山北路二段60號,1,1100407,       ,臺北市中山區民安里中山北路二段60號,臺北市中山區民安里17鄰中山北路二段60號,302723.647,2772145.404,臺北市,全家
16728,23060248,全家便利商店股份有限公司,90716863,嘉義縣第一一八分公司,嘉義縣太保市安仁里祥和一路東段20號、22號1樓,1,1100323,       ,嘉義縣太保市安仁里祥和一路東段20號、22號1樓,嘉義縣太保市安仁里13鄰祥和一路東段20號,178131.01,2595230.99,嘉義縣,全家
16729,23060248,全家便利商店股份有限公司,90717005,台北市第七一八分公司,臺北市大安區正聲里忠孝東路4段302號1樓,1,1100325,       ,臺北市大安區正聲里忠孝東路4段302號1樓,臺北市大安區正聲里1鄰忠孝東路四段302號,306149.424,2770451.358,臺北市,全家
16730,23060248,全家便利商店股份有限公司,90717292,台南市第二七一分公司,臺南市安南區安西里安通路四段89號、90號,1,1100329,       ,臺南市安南區安西里安通路四段89號、90號,臺南市安南區安西里12鄰安通路四段89號,168971.899,2547736.779,臺南市,全家
16731,23060248,全家便利商店股份有限公司,90717650,桃園市第四六O分公司,桃園市平鎮區雙連里民族路雙連二段120號旁、120號1樓及122號1樓、122-1號1樓,1,1100330,       ,桃園市平鎮區雙連里民族路雙連二段120號旁、120號1樓及122號1樓、122-1號1樓,桃園市平鎮區雙連里19鄰民族路雙連二段120號,268476.539,2761274.259,桃園市,全家
16732,23060248,全家便利商店股份有限公司,90727720,台北市第七一四分公司,臺北市文山區樟腳里恆光街21號1樓及木新路二段251號1樓,1,1100308,       ,臺北市文山區樟腳里恆光街21號1樓及木新路二段251號1樓,臺北市文山區樟腳里5鄰恆光街59號,307281.056,2763875.066,臺北市,全家
16733,23060248,全家便利商店股份有限公司,90727812,桃園市第四五七分公司,桃園市中壢區信義里環中東路二段314號、316號1樓及夾層,1,1100310,       ,桃園市中壢區信義里環中東路二段314號、316號1樓及夾層,桃園市中壢區信義里17鄰環中東路二段314號,273744.02,2760070.29,桃園市,全家
16734,23060248,全家便利商店股份有限公司,90728283,台北市第七一三分公司,臺北市中正區黎明里南陽街1號,1,1100311,       ,臺北市中正區黎明里南陽街1號,臺北市中正區黎明里12鄰南陽街1號,302089.424,2770940.52,臺北市,全家
16735,23060248,全家便利商店股份有限公司,90728328,台北市第七一五分公司,臺北市士林區葫蘆里延平北路五段217號、219號1樓,1,1100315,       ,臺北市士林區葫蘆里延平北路五段217號、219號1樓,臺北市士林區葫蘆里6鄰延平北路五段217號,301430.895,2775171.213,臺北市,全家
16736,23060248,全家便利商店股份有限公司,90728447,台南市第二七○分公司,臺南市南區郡南里德興路47之1號,1,1100311,       ,臺南市南區郡南里德興路47之1號,臺南市南區郡南里19鄰德興路47之1號,167188.47,2540772.1,臺南市,全家
16737,23060248,全家便利商店股份有限公司,90728538,新竹縣第一三九分公司,新竹縣北埔鄉埔尾村仁愛路39號,1,1100312,       ,新竹縣北埔鄉埔尾村仁愛路39號,新竹縣北埔鄉埔尾村7鄰仁愛路39號,255341.53,2732950.529,新竹縣,全家
16738,23060248,全家便利商店股份有限公司,90728586,高雄市第四○二分公司,高雄市前鎮區西山里一心二路25號1樓,1,1100316,       ,高雄市前鎮區西山里一心二路25號1樓,高雄市前鎮區西山里26鄰一心二路25號,179234.984,2501330.842,高雄市,全家
16739,23060248,全家便利商店股份有限公司,90728925,台北市第七一六分公司,臺北市大同區建泰里長安西路25號1樓,1,1100315,       ,臺北市大同區建泰里長安西路25號1樓,臺北市大同區建泰里1鄰長安西路25號,302460.393,2771454.527,臺北市,全家
16740,23060248,全家便利商店股份有限公司,90728967,彰化縣第一二七分公司,彰化縣北斗鎮新政里中華路205號,1,1100316,       ,彰化縣北斗鎮新政里中華路205號,彰化縣北斗鎮新政里5鄰中華路205號,201492.53,2641036.98,彰化縣,全家
16741,23060248,全家便利商店股份有限公司,90729255,台北市第七一七分公司,臺北市南港區新富里忠孝東路七段635號1樓,1,1100318,       ,臺北市南港區新富里忠孝東路七段635號1樓,臺北市南港區新富里15鄰忠孝東路七段635號,312147.993,2771823.37,臺北市,全家
16742,23060248,全家便利商店股份有限公司,90880300,台南市第二六九分公司,臺南市安南區新順里開安路50號,1,1100208,       ,臺南市安南區新順里開安路50號,臺南市安南區新順里13鄰開安路50號,170417.329,2549738.609,臺南市,全家
16743,23060248,全家便利商店股份有限公司,90880580,新北市第一○二四分公司,新北市蘆洲區南港里永平街32巷17號1樓及32巷21弄1號1樓,1,1100220,       ,新北市蘆洲區南港里永平街32巷17號1樓及32巷21弄1號1樓,新北市蘆洲區南港里11鄰永平街32巷57弄1號,296357.189,2776128.146,新北市,全家
16744,23060248,全家便利商店股份有限公司,90880771,高雄市第四○一分公司,高雄市鼓山區前峰里翠華路396號1樓,1,1100225,       ,高雄市鼓山區前峰里翠華路396號1樓,高雄市鼓山區前峰里12鄰翠華路396號,176469.549,2507132.12,高雄市,全家
16745,23060248,全家便利商店股份有限公司,90880792,桃園市第四五八分公司,桃園市中壢區石頭里中和路146、148號、150號1樓,1,1100225,       ,桃園市中壢區石頭里中和路146、148號、150號1樓,桃園市中壢區石頭里1鄰中和路293號,272434.28,2760674.16,桃園市,全家
16746,23060248,全家便利商店股份有限公司,90881011,桃園市第四五九分公司,桃園市桃園區汴洲里幸福路238號及258號1樓,1,1100302,       ,桃園市桃園區汴洲里幸福路238號及258號1樓,桃園市桃園區汴洲里1鄰幸福路238號,280139.37,2768956.779,桃園市,全家
16747,23060248,全家便利商店股份有限公司,90881027,基隆市第一二九分公司,基隆市中正區新富里新豐街381號、383號,1,1100302,       ,基隆市中正區新富里新豐街381號、383號,基隆市中正區新富里7鄰新豐街381號,329219.064,2781003.788,基隆市,全家
16748,23060248,全家便利商店股份有限公司,90883995,新竹縣第一四○分公司,新竹縣竹北市鹿場里自強五路245號,1,1100409,       ,新竹縣竹北市鹿場里自強五路245號,新竹縣竹北市鹿場里28鄰自強五路245號,252057.53,2744973.91,新竹縣,全家
16749,23060248,全家便利商店股份有限公司,90884122,台北市第七二一分公司,臺北市信義區景聯里莊敬路190號1樓及地下室,1,1100412,       ,臺北市信義區景聯里莊敬路190號1樓及地下室,臺北市信義區景聯里13鄰莊敬路190號,306629.624,2769303.458,臺北市,全家
16750,23060248,全家便利商店股份有限公司,90884143,台中市第六九六分公司,臺中市西屯區何南里大墩二十街99號1樓及地下1層,1,1100412,       ,臺中市西屯區何南里大墩二十街99號1樓及地下1層,臺中市西屯區何南里18鄰大墩二十街99號,214744.035,2672694.188,臺中市,全家
16751,23060248,全家便利商店股份有限公司,90884164,台北市第七二三分公司,臺北市文山區指南里指南路三段51號、53號、55號1樓及2樓,1,1100421,       ,臺北市文山區指南里指南路三段51號、53號、55號1樓及2樓,臺北市文山區指南里16鄰指南路三段51號,308523.381,2764111.268,臺北市,全家
16752,23060248,全家便利商店股份有限公司,90884170,高雄市第四○四分公司,高雄市左營區新上里辛亥路250號1樓,1,1100416,       ,高雄市左營區新上里辛亥路250號1樓,高雄市左營區新上里12鄰辛亥路250號,179118.679,2507394.649,高雄市,全家
16753,23060248,全家便利商店股份有限公司,90884185,台北市第七二二分公司,臺北市松山區慈祐里八德路四段676號、678號,1,1100426,       ,臺北市松山區慈祐里八德路四段676號、678號,臺北市松山區慈祐里18鄰八德路四段676號,308156.748,2771425.194,臺北市,全家
